time,alpha,x_min,error,gini,mean,pop,gdp,rev,exp,btm,top
1,0.4914148631264752,1.1337412677574032,0.015539902435395535,0.6325258744704417,19.374179325173188,1000.0,19374.17932517318,1660.321908870883,22.290067075565517,150.75517396412548,10346.645030220323
2,0.4832242606248943,1.1276630783959631,0.015280046889382216,0.6292792788483379,19.779228477382283,1000.111,19781.751094844705,1695.4642641634246,21.995210002558807,151.84072413878687,10475.778257654189
3,0.4739585631393686,1.1139034064181463,0.014988475056120868,0.6267976517170484,20.220396985676413,999.92,20219.25948791961,1685.1239766469334,21.59974607856103,153.2168421913303,10687.670712742467
4,0.46448055505688635,1.101800842324816,0.014689320277307844,0.6229770326018546,20.645194454958812,999.847,20642.724841172192,1782.973198053784,21.324623466099517,156.22595808225796,10799.840595685548
5,0.4559285090366644,1.0875042245969142,0.014419475604492466,0.6207705699082691,21.093007486831347,999.761,21088.571609891278,1757.6243337014341,20.945952653073398,158.03716167863467,11027.99504963743
6,0.44741374408744405,1.076637250644177,0.014149389669649516,0.6171142298022246,21.530515788554595,999.868,21528.76514544843,1851.5401223580764,20.708919338129164,161.57560495332234,11157.927271935756
7,0.4404348366390419,1.0671552208503747,0.01392718192820635,0.6148191756087176,21.96252207057744,1000.069,21965.205962965254,1852.1258621484405,20.597181994097195,164.60513190731152,11359.660513443583
8,0.4328217809663947,1.0544039826301355,0.013684890931429165,0.6121150162901966,22.39274375762286,1000.301,22400.753561475463,1855.1821124513142,20.62323725046757,168.4225323840462,11554.080184986427
9,0.42507859519716884,1.0402910137981332,0.01343750818845519,0.6090492746876408,22.819826197852315,1000.682,22836.92641012266,1917.4418120659134,20.604527334759663,173.3115988010895,11704.824689509582
10,0.4189119283200338,1.032051562550131,0.013239365832363568,0.606076015272443,23.183081095489804,1001.172,23211.280885069642,1933.332092076848,20.668950826984457,178.45031403559395,11832.480443664273
11,0.41358731463940024,1.0273073571250473,0.0130679299877593,0.6033894780356795,23.587342646984798,1001.647,23627.353947991476,1979.4896537680497,20.78237723547145,184.3563790401679,11981.549854297185
12,0.40818439955199515,1.0187846887045777,0.012893118246965938,0.6011591265727239,23.974044129329044,1002.282,24030.441647638745,1981.7336475633222,20.992007544265224,190.41313473482018,12157.219488089682
13,0.40324164052703776,1.0147120023753207,0.012732231447726365,0.5981728857851492,24.34276792309032,1003.017,24418.355453056738,2028.1022039930722,21.361244415323856,197.42215317633026,12282.893845499431
14,0.3986214115467064,1.0084429875843675,0.012581264968345112,0.5961980407920435,24.74410001719853,1003.828,24840.526174919483,2029.89659169949,21.657722094975384,204.07218029771497,12482.95997423823
15,0.39707487421082654,1.0192010891764438,0.012526905990710359,0.5947012915787422,25.1330562357522,1004.719,25253.77990897076,2080.797602812497,22.503668063920113,211.6709597544121,12637.489107162372
16,0.39410413628856245,1.0211657454160512,0.01242637074104431,0.5923720465080465,25.474216670562726,1005.819,25624.304530110534,2092.98789436353,22.939355649970814,218.4221121180952,12787.193622011719
17,0.3911722910591011,1.0216108554685457,0.012327026739056774,0.591175339707356,25.848663814905017,1006.94,26029.813819355124,2157.9792903278317,23.266402647444455,225.18204098478554,12929.187550964012
18,0.3900016552655924,1.0311911953767567,0.012282317747324812,0.5899624145232922,26.19258336798941,1008.224,26410.082646566138,2127.1714099645687,24.012446141033646,230.90807602660016,13132.65592166604
19,0.3897266124131522,1.0460057535590148,0.012264764134439972,0.5889880162773666,26.5290608672381,1009.692,26789.06548358855,2214.351491117454,24.64673795988202,237.44593304668845,13246.640403438412
20,0.38981956100959875,1.06088641655224,0.012258344281010905,0.5884363892219461,26.877605487189612,1011.212,27180.707271979263,2193.9667505037037,25.051314833464556,241.66780595386666,13464.790091652001
21,0.38846405054146693,1.065470537009789,0.012205769602987138,0.5884909107659919,27.201136186135557,1012.879,27553.878208977105,2254.854655071166,25.184256243468916,245.23844128724033,13611.890593519436
22,0.3886959694571256,1.0790640331961316,0.012202019599914363,0.5890694863584464,27.52647056706229,1014.726,27933.282455408666,2317.7922903543135,25.347299342317804,248.12073049180938,13772.78395624531
23,0.38976558107711085,1.0937716812210665,0.012223234708447913,0.5908450608013261,27.85826758004485,1016.787,28327.360055489386,2280.365163668627,25.956541540251227,249.3184069449394,14041.637804500353
24,0.3903020657929948,1.1061241692890327,0.012228304419686626,0.5922394722621682,28.18373821541256,1018.738,28713.35637270851,2317.046395647279,26.281918663049005,250.84962042558388,14258.903578277586
25,0.39098794201658926,1.1195973133323458,0.012236790262157727,0.5936901758196248,28.483214122460268,1020.908,29080.941080154127,2375.8130514479517,26.448273402905713,252.1396638144938,14444.11610085042
26,0.39117898398775375,1.1285090745549293,0.01222927553659214,0.5953435443510621,28.780804344087635,1023.155,29449.48796732899,2484.947462420175,26.537830770018566,253.60516888902663,14596.72007621198
27,0.391452671951995,1.136578580897638,0.012222814738218022,0.5975383393230359,29.07094083276425,1025.632,29819.242493184076,2493.1680938135532,26.35010861357559,253.96053901339562,14840.654256637745
28,0.39222231416056685,1.145772586569594,0.012232124754563528,0.6005439515614878,29.376277641381016,1028.129,30205.949256442786,2515.2431267284624,26.7145901226061,254.7740014534021,15101.875620231787
29,0.39369012792190394,1.1616834248281582,0.012261332078756433,0.6028616757067238,29.66429902455793,1030.9,30585.18449590503,2577.3912196782517,26.856771712837,255.9564969026676,15329.58797256713
30,0.39500229913005286,1.175088416731154,0.012286435162577714,0.6060115454535114,29.994900547645376,1033.539,31005.079999121084,2605.0911963889853,27.069555850455405,256.2855740711525,15636.013509682134
31,0.39762636404707435,1.1945539998644457,0.012351466466489673,0.6098647505744498,30.317725539032743,1036.348,31423.184460468983,2618.3866184653734,27.33852238029079,256.90624844615337,15962.057837764643
