time,alpha,x_min,error,gini,mean,pop,gdp,rev,exp,btm,top
1,0.7484913527938409,2.5780617622548716,0.023669374837691708,0.6079101269359735,19.429874576443634,1000.0,19429.874576443635,1653.613074005222,58.20217678739711,274.40077093844485,10236.77392479967
2,0.7404305785484756,2.6057209369347962,0.023413089022487645,0.6048736706685967,19.845252170204287,1000.113,19847.29014713776,1668.1010752823468,57.637558772086074,276.90044928260295,10390.463019068378
3,0.7333399658914226,2.6593948454321823,0.023191105503230107,0.601797386263783,20.28478619648455,999.928,20283.09469439727,1719.2851363805667,58.568547446213124,283.68646689726364,10544.05301643515
4,0.722967936141538,2.67079013132974,0.022864659562022133,0.5986094365973254,20.703990354650195,999.788,20699.73168997008,1723.677444628763,58.44817539686821,287.1786900482426,10718.227395781678
5,0.7145167346266141,2.705699150638449,0.022597642704529085,0.595660258773872,21.15935803285943,999.769,21154.350290072332,1758.8502585863139,59.32495668677018,293.93638552311404,10903.934161453613
6,0.7050884691168274,2.7284110435557447,0.02229814056224553,0.593308480927869,21.60773562246865,999.887,21605.271054809316,1781.312240780252,59.972267512935346,300.48950955019376,11097.079829366507
7,0.6968671527144598,2.7587540391935503,0.022036440322919536,0.5902462866916804,22.03952183232409,1000.037,22040.050809372624,1816.4465790830136,60.76565917049327,309.05269048922645,11266.123312808855
8,0.6900307983183077,2.803965078803854,0.021817557383654373,0.5867082064700725,22.461307393466452,1000.283,22467.203731742367,1868.4709929976457,62.47947623983328,320.6035657241056,11409.086353315666
9,0.6829603058932253,2.84295339530735,0.02159032222834259,0.5838999374220396,22.900252554365153,1000.645,22914.062796894603,1913.2176666545906,64.10238586334027,333.02895435440644,11582.074890226415
10,0.6763731459631277,2.8849852431266942,0.021377013714403086,0.5810332478854788,23.322490281709086,1001.106,23347.521768850293,1962.8589654922114,65.98982844993434,347.01472947820827,11732.870688387833
11,0.6674187949193404,2.8764972112458165,0.021088203388466502,0.578361570233225,23.702736699900463,1001.648,23740.897012062152,1947.9793297457209,66.40674202291967,356.60001320436703,11904.155849690715
12,0.6634586024060051,2.9416180667846383,0.020956647462030735,0.5751217772008365,24.090016810298128,1002.281,24143.811867359513,2022.4645153365793,68.90827482212156,374.40091419910203,12011.417517104823
13,0.6551863237242913,2.9340350723230677,0.02068834058171674,0.5730612125415084,24.47649326161161,1002.953,24547.336879783285,2010.8183190817667,69.69056822843501,386.11042751238875,12193.842139253691
14,0.6506847479731556,2.972806977407545,0.020538508489207307,0.5703643378013307,24.87223777409237,1003.707,24962.772045652495,2052.15417607675,72.06694281874519,402.79293945272127,12345.627682761715
