time,alpha,x_min,error,gini,mean,pop,gdp,rev,exp,btm,top
1,0.9305233201559602,3.55359046636452,0.02942573107594903,0.5847765222619116,19.20141109457027,1000.0,19201.411094570296,1602.5310233286746,90.9621767769491,376.30740651100257,9918.841863235439
2,0.9185873716651899,3.6003884970922084,0.029049800417996225,0.582017546801791,19.616702153350268,999.9,19614.36379974982,1616.454640984606,90.77637916548662,381.61090331015816,10064.444418060424
3,0.9167825071354773,3.7099218613369063,0.028996972920586922,0.5777192861769779,20.048366750683055,999.619,20039.934912379507,1671.1355122167945,93.17235869445153,394.34235057252494,10198.203250335802
4,0.9109951738788084,3.7937213836960457,0.028817208327859275,0.5741470717438332,20.44886849018739,999.388,20435.80461318723,1703.0473336290609,94.91059457800507,404.3701520220647,10324.000424965887
5,0.9087071147566318,3.8968515594879936,0.028746486709177954,0.5707897064629969,20.89133764325485,999.269,20875.38911955025,1742.3417115976736,96.75583271361208,416.1821036852349,10485.188571587905
6,0.9116354147541669,4.03005568509611,0.02883983982468931,0.5671268487457439,21.368026617442908,999.237,21350.542030806344,1794.1074460646455,99.2120179496915,430.4700502159791,10668.55127170886
7,0.9129209801271838,4.144252422146973,0.028879768929066345,0.5638629113263619,21.80087517582297,999.294,21783.922566474088,1822.1685485149933,100.68035449306178,442.1519299660941,10840.431542053928
8,0.9141891403365985,4.254470032686467,0.028917408438778894,0.5616466243916137,22.240113681996917,999.465,22226.016909924867,1842.4199681602256,102.65268748250237,453.70724205939695,11021.838822647826
9,0.9166883561033571,4.382624037805266,0.028992055799454325,0.5584709712112939,22.684732380928764,999.775,22677.167625830018,1877.2216982812065,105.63401115482752,469.44007109248184,11197.09476937005
10,0.9145165854988287,4.474427800207836,0.0289173054057139,0.5556535324163202,23.09905080867506,1000.196,23100.72506388776,1903.6312689771544,107.90896671710631,485.1012560604499,11354.716041326943
11,0.907976833371961,4.548211463886519,0.028703384658919556,0.5524047018534493,23.521462713594502,1000.704,23534.687262137144,1928.8489782976812,110.44883569458564,503.0931614132509,11526.03368169115
12,0.9009502290733905,4.616957101644937,0.02847461689914144,0.5493719283780086,23.929506114543706,1001.192,23953.873765518456,1961.2059226672684,113.3752252228583,522.9873748622689,11680.789548663734
13,0.8887658071754981,4.638847817128482,0.02808042999134478,0.5470347231192492,24.31605008948854,1001.859,24356.48428563483,1968.3253207861478,115.72639672090634,540.4475912339592,11840.449405995134
14,0.8787412278082913,4.675215691667801,0.027754089915005775,0.5446352657264928,24.702206042054073,1002.535,24760.26868448038,1987.1744726523154,118.8203409341472,560.170194159265,11992.168325966202
15,0.8734294480474414,4.739326485821439,0.027574518199961748,0.542149960788807,25.09004051784334,1003.385,25170.058667804595,2026.57292099827,122.49173791870804,583.0165643679971,12135.081049832095
16,0.8692694939959483,4.817197782281487,0.027431109478452485,0.5389366075788653,25.473122793337456,1004.299,25577.081781746238,2065.5064632475214,126.24066752155667,606.430786213915,12277.478003356871
17,0.8638085553187548,4.872029485090166,0.02724422284122529,0.536846996916369,25.831217645905177,1005.404,25964.749576882845,2095.2293048162496,129.64187528749136,627.6041405943416,12412.686839665646
18,0.8606217220890057,4.942235896703573,0.027126767114849074,0.5345390611395308,26.18458918411119,1006.673,26351.75262306974,2138.133374308949,133.78141320307088,649.967866897033,12540.517682758278
19,0.8520292513453872,4.9590851459099525,0.026838179857184095,0.533883785838063,26.54221001591339,1008.022,26746.921837944737,2143.8418313092516,136.4515422461761,666.7186597847694,12713.922224514181
20,0.8443961750675592,4.981213644734444,0.026577953826084116,0.5323076506235851,26.861673280476435,1009.537,27109.011695587917,2146.810617926991,138.40329151986998,681.8489130043398,12862.87167791909
21,0.8533534146506829,5.139104624913185,0.026837788764223255,0.5298266413524116,27.219632035042828,1011.213,27514.639078877524,2229.320674123277,144.92643855771666,706.5576965229535,12983.168372135262
22,0.8459490318634667,5.144117000136955,0.02658158655681212,0.5309538820864521,27.586533233366964,1012.929,27931.656332160914,2216.5681670517383,145.65967654606837,714.815389295329,13218.106939007323
23,0.8568653496344237,5.30628463189489,0.026899725135189255,0.5297070508681446,27.930597983311458,1014.847,28333.099725421464,2293.488553349625,152.01885058612626,734.4293507301234,13355.718670331418
24,0.8633978266793393,5.430285341828823,0.027077345594992343,0.529992256762344,28.27754752596432,1016.984,28744.516834477257,2356.8709365318146,156.75972632048297,749.9951236993529,13532.19826429004
25,0.8708951336458102,5.537875402800594,0.027282128178308013,0.5309881542779307,28.596746026992115,1019.28,29133.22379136774,2374.6303471693113,159.85244056680446,759.4448587630092,13729.500342067999
26,0.8818334214535901,5.671185694606368,0.027593809736969375,0.5317807198034122,28.951186071943045,1021.539,29558.074239792608,2410.363004399258,162.72077011724582,770.0207046171678,13953.514236617732
27,0.8944911255306948,5.804208997659513,0.027954945485341377,0.5333445708722998,29.296606563332684,1024.067,29983.518330041567,2411.621840894954,164.39162499829405,776.3655606150663,14212.06441992671
28,0.915552727961342,5.998439266497111,0.028573633595287036,0.5347354865341915,29.63384279679248,1026.847,30409.851456293312,2434.3718004175307,167.13545413643433,784.9680576153548,14464.369093032012
29,0.9460544258408908,6.302113551399287,0.02948733815110562,0.5354111054365899,29.98110869671937,1029.626,30849.343951775587,2529.512016484038,174.1396855489037,803.4071442520706,14660.002163492298
30,0.9718160030216588,6.524809841421584,0.030245842279119424,0.537204700007466,30.337243790206287,1032.588,31304.293622316818,2541.9856600255207,176.18560513545185,809.539833519898,14954.122192205026
31,0.9873594572928281,6.691291097902825,0.030685372603553578,0.540014682794836,30.69320950955212,1035.546,31762.642837232226,2582.1586596165075,179.1322930455528,818.4847151475345,15230.052581560702
32,1.008502495218453,6.918747600038875,0.031297245125756,0.5413390012406923,31.075530467618744,1038.551,32251.700790229075,2662.587388595651,184.5036260942291,833.4377034265074,15501.281331306513
33,1.0064204692266188,6.929822113214304,0.03118335777632508,0.5446477388678063,31.472483149130547,1041.783,32764.58111490164,2662.2572497173833,185.43798073725154,836.4977106670417,15872.288808956031
34,1.014561905900815,7.077943421043865,0.031386727927666835,0.5464861591279052,31.878354895185957,1045.09,33292.62957688926,2762.694854140736,192.9679045427089,853.7265326243252,16156.473371320802
35,1.0144957574354978,7.124641302512973,0.031333674451772875,0.5490928413455627,32.31439849049529,1048.466,33854.931750428674,2792.606728344359,196.42011836250623,861.6789350865785,16546.769502598177
36,1.0187532520602847,7.24813922649049,0.03141696768062299,0.5516526183595198,32.78495675244449,1051.773,34454.877109542904,2890.2773129756397,203.27178916825338,878.3405840728198,16894.661717590054
37,1.0197401305464486,7.305233882702863,0.03139763543627107,0.5541115024932114,33.271460114331504,1055.047,35074.41542478892,2924.773257846454,206.8905858355432,887.0622342089526,17330.30803012799
38,1.0231627434038335,7.417085304376032,0.03145521409090054,0.5565841973794984,33.775971900387404,1058.282,35715.385234202484,3006.187288315049,213.90638350923072,902.1102743703519,17730.824169377414
39,1.021495671866179,7.4856166966995294,0.03135645524022205,0.5599355558184134,34.311695809203655,1061.498,36391.763680919015,3067.8674586180528,219.16633882034483,913.8218070638136,18176.231816619063
40,1.026131588430147,7.618389804547085,0.03145313549464445,0.5619831491273696,34.838879019053046,1064.62,37060.27614259623,3160.3779345932207,226.72639330593145,929.5473276260258,18567.93820328231
