time,alpha,x_min,error,gini,mean,pop,gdp,rev,exp,btm,top
1,0.668190282892759,2.1025458953912275,0.021130032043333666,0.6141469697825237,19.32815100685539,1000.0,19328.151006855413,1594.8983135246226,44.95764620306453,230.2631758746498,10245.699646835545
2,0.6595863017703973,2.128118956131626,0.020857480672540594,0.6105895004078572,19.712597813360095,1000.043,19714.43333486461,1638.4089864440257,45.05648511612554,233.95322621680822,10343.308932606134
3,0.651611391808203,2.1685755972404652,0.020607231096707184,0.6068893024563998,20.13052888974673,999.851,20128.323704229093,1712.4249743081411,45.87033766374596,240.74391532606862,10460.444260298898
4,0.6413307583522292,2.1609231890501954,0.020283088787965278,0.6045017206902703,20.566154645536066,999.756,20562.009937759332,1703.0971565579914,45.63174556686386,242.96228692586982,10666.947615522104
5,0.6331730247549416,2.1813458480569663,0.020025501909195484,0.600891075041556,20.97194250514852,999.717,20966.96364968409,1742.6788511950588,45.99770183194668,248.73180220987655,10801.377434186348
6,0.6236378182920869,2.18625492291873,0.01972338954728144,0.5985295914804794,21.394026623760066,999.769,21389.843549837777,1756.7705018518307,45.94326214604277,253.75654545672657,10973.6550414833
7,0.6178643409209897,2.2454269041951225,0.019539203787011104,0.5951586215233065,21.81496879433234,999.933,21814.408223426784,1858.340648105704,47.44929063285782,265.1500958783202,11074.470555242942
8,0.6105056876053564,2.2656636008747477,0.019303840598515875,0.5922785991621249,22.230449894938157,1000.209,22235.68723031677,1893.1355541233258,48.474922893019304,273.89025371462395,11227.733509429909
9,0.603107283038849,2.278552572487246,0.019066116831385743,0.5896071515665489,22.642100429570693,1000.602,22655.979335878143,1915.2433118996382,49.41642336566771,282.9716906156436,11390.680428104984
10,0.5954930255500046,2.259529018489651,0.018821964310016148,0.5870949776377855,23.036633432490277,1000.963,23059.758870279442,1881.2439919223282,49.52863051421818,289.2151168494133,11588.700186655633
11,0.5912891548013383,2.2980871751563687,0.018684544497549707,0.5835883010331947,23.4573809909963,1001.454,23492.07935589441,1943.8874474358506,51.150768947483044,302.55965333101494,11731.878781237694
12,0.5846170158284462,2.3157703834323797,0.01846828100771321,0.5818311037515572,23.847394935234455,1002.043,23896.662635529217,1970.0499036186332,52.351473679738355,314.2494575559992,11882.41003132988
13,0.5789047174445247,2.3132193145086988,0.018280871536089583,0.5789664535813908,24.191248631320292,1002.806,24259.19981291722,1963.6999204392105,53.158534489365,324.69091867055397,12020.285781246748
14,0.5755862353813783,2.3509250758235303,0.01816902558289423,0.5761565616162017,24.563308760902252,1003.584,24651.62852259874,2023.5363064357064,55.16380908158844,339.2093526720132,12134.278596874814
15,0.5699311817123982,2.352947258532466,0.017982578797756027,0.5742941437840987,24.78168803041113,1004.475,24892.429279455155,2026.832227993939,56.0118843603708,350.226853061195,12152.695336037117
16,0.5660938089104403,2.3686305247634016,0.017852311726420975,0.5725079625016373,25.162909326076296,1005.499,25300.783758728096,2048.2508406901243,57.27065405431347,362.4474260479268,12324.516490521179
17,0.5632707408178795,2.3976950355833924,0.01775373941837857,0.5704145473181637,25.507179062959967,1006.597,25674.608847241416,2092.7474742705786,58.759163996035994,375.660020494135,12446.612854817304
18,0.5607596169397658,2.41863604454367,0.017663560253598058,0.5688004939535255,25.850436869663977,1007.839,26052.0915977133,2116.185056061514,60.583083982881156,387.88587087527634,12596.206156136486
19,0.5581564988842311,2.435260554253957,0.017569932558406644,0.5679793407700295,26.19296421340472,1009.183,26432.735478112518,2131.548218401639,61.97002485414469,398.4222961117401,12762.691588124102
20,0.5586685859000331,2.481286626928695,0.01757226594906904,0.5669092369535411,26.522418803336237,1010.765,26806.378452710094,2183.4523068361063,63.95271854481041,409.94011292049447,12894.400596530359
21,0.5579302735085806,2.505545478582049,0.017534259619261614,0.5671191004425806,26.864604425478156,1012.463,27197.561684057422,2199.437179058456,65.13331896880591,417.85567142483535,13086.393319967117
22,0.5588905808644284,2.539767987639832,0.017549359346348787,0.5675424835099521,27.200845047858934,1014.206,27585.263157828922,2218.5572910436813,66.14143520512519,424.1331954542995,13280.962773945044
23,0.5608528977216076,2.583229156410105,0.01759388915680798,0.5683359997693267,27.530883054638203,1016.172,27973.787242432383,2253.0118361785635,67.5147354563035,430.22004374354265,13473.608863451416
24,0.5657752966133169,2.655529160819347,0.017729732715518077,0.5690834736981055,27.867745594408955,1018.317,28375.441835874663,2315.579892025718,69.33049902383215,437.6199594757657,13669.378290373135
25,0.5723092400519314,2.730932624441384,0.017915357511354417,0.5705972066607977,28.18409878748561,1020.485,28758.929494078548,2343.5937495972207,70.68463590695244,442.3170916226351,13882.058270624724
26,0.5784773274896545,2.8028575849327284,0.018086757701837246,0.5721599550094958,28.496778188496904,1022.929,29147.131213040066,2380.753477980602,71.99038576584222,447.50837222039263,14097.67106631055
27,0.5922398900783296,2.930833852474289,0.018494765783381262,0.5740249530354595,28.81536443697703,1025.394,29543.66833811177,2407.644722748243,72.78471806389354,451.64672043921445,14338.033482948407
28,0.6030325305330357,3.039267386544279,0.018807181507354383,0.5764036708979586,29.13801645659177,1028.075,29952.387552575772,2442.4957141459813,73.87930650782212,456.1169557553991,14596.511312361154
29,0.6222392275388245,3.2245828789058333,0.019380235393271748,0.5786204757565089,29.46165489007136,1030.85,30366.516367210006,2502.276268632563,75.38029876832815,462.13535938166757,14846.471758643233
30,0.634785616430525,3.3428456713926,0.01974310917887525,0.5817750539888187,29.795212696070315,1033.766,30796.84138492974,2533.5499428107296,76.54311534085917,465.8015462445353,15140.129268095096
31,0.6505459258080084,3.4920188640416336,0.020204996855902938,0.5840913146315165,30.118621066470283,1036.679,31219.323724106976,2583.0871475059826,77.8016188351983,470.7603096695335,15414.848807310642
32,0.660519909534585,3.59312607677284,0.020485070166413974,0.5868647836774081,30.468261092503457,1039.675,31672.950183169043,2643.3871351040825,79.26716382826498,475.95517519829315,15718.14057447806
33,0.6647384257464545,3.642059069909666,0.02058620527380389,0.5904592109744596,30.837295613607044,1042.7,32149.772480006275,2685.577206093588,80.4300242593207,479.9091377734488,16067.452277578312
34,0.6688200856150057,3.700134180689044,0.020679878763901743,0.5936897154581539,31.212475391929658,1045.984,32643.86721794416,2762.335017676751,82.67847590303414,486.4505362755864,16404.971318069292
35,0.6714401713382686,3.731903081478049,0.02072951587225357,0.5975075449271656,31.586293890847145,1049.176,33135.29605082134,2796.3457582349556,84.06459688220254,489.9631617033063,16775.896264010004
36,0.6748387581172818,3.7811254260824234,0.020803117402489305,0.6008326444475941,31.985445324217864,1052.34,33655.69766056332,2866.1838207034266,85.85653639238508,495.7457085772251,17149.356240146684
37,0.678047575986036,3.8221799675197414,0.020870400603213858,0.6043413500559286,32.40809424247649,1055.525,34203.33600066205,2914.7038259429937,87.02932342110127,500.34153121121034,17565.197690915847
38,0.6783213531808908,3.8323930833769193,0.020846692333918147,0.6086603999382989,32.847324287404646,1058.796,34774.14947733036,2931.0969207165563,88.12527853823553,502.91753657645523,18024.9262738111
39,0.6849186381878591,3.930400925272626,0.021016763832658547,0.6114137625509906,33.34261835025393,1062.091,35408.02008142371,3054.3890655812556,91.5612227784996,512.7759853322675,18455.751611841122
40,0.6869139439436768,3.965218428463039,0.02104409710392415,0.615134724389034,33.829734412343186,1065.494,36040.712589125746,3105.2800848896195,93.4627498614664,517.7063080437648,18942.314461422247
41,0.6915828365612028,4.034995006605918,0.02115250109132096,0.6185691091298839,34.372634133973925,1068.989,36739.45188221193,3190.3637388432444,96.01265307132044,525.2545164696031,19461.39567866325
42,0.694785069045871,4.079984928704898,0.02121710652356804,0.6225272922323374,34.92775188696777,1072.337,37449.73170161346,3231.201967273204,97.68499988877502,529.650553102938,20023.162317783022
43,0.69805097257224,4.142530786323393,0.021283532413553984,0.6260329885904652,35.53945808213321,1075.709,38225.7265949866,3313.9271836887356,100.01352909173352,536.730698118555,20600.89404103367
44,0.7012875804235134,4.219919696756489,0.021348080252556616,0.6288552127938628,36.17730101064215,1079.147,39036.761056199066,3435.938429069964,103.34225118295487,546.6812577786352,21171.041476758845
45,0.7028051354263852,4.271082578427267,0.021358270252759153,0.6325237342378043,36.8441237777336,1082.806,39891.65774701728,3515.5050258555625,105.60805595417014,554.221081065226,21810.87546779916
46,0.7027697324609705,4.307839594520242,0.021322567312445726,0.6361696401942822,37.53611255873833,1086.307,40772.16063175599,3582.6158181122573,107.35376321385917,560.5135265813808,22467.44090698045
47,0.7045324525062178,4.375878307727262,0.021342109816992125,0.6388843782559264,38.2534718648488,1089.757,41682.2044707196,3694.376578084606,109.9519822826979,569.9679726734221,23112.292654899396
48,0.7074917535325466,4.467972593389783,0.021396015334250253,0.6415303828231653,39.033236390368344,1093.411,42674.914309244625,3831.8849270629635,113.91343495263911,581.5339790993344,23784.901249862447
49,0.7079497379071992,4.526310843268846,0.021373862641253395,0.6444541694494921,39.855316723607125,1097.118,43721.68642412225,3933.0960818937738,116.80355061470439,590.6642902948337,24535.684403709467
50,0.7090530402595557,4.597614806909825,0.021369442918742928,0.6476274534655522,40.73401896225771,1100.993,44843.7732164976,4041.9968663309105,119.81551727326271,600.6839274441319,25330.40940279397
51,0.7080442146433215,4.646093403319292,0.021301188110066822,0.6507153939396514,41.64745957280122,1104.909,46012.91286727497,4134.05888987333,122.0445049487037,609.7131320170629,26170.20087914312
52,0.709118633047635,4.726908211212112,0.021296165906250726,0.6532137139328454,42.59516677012496,1108.808,47226.71175512151,4253.988096281913,124.86437107034344,620.5582100122515,27007.75966877918
53,0.7085448077097902,4.8086616442398595,0.021239965819456638,0.6554121489073181,43.59388750558082,1112.865,48511.80131729793,4410.548074408805,127.86901122618858,634.0372263983381,27858.194871199692
54,0.7086239142462776,4.888962818441729,0.021202570217413536,0.6575673803610539,44.626261547861574,1117.046,49847.75462480261,4543.326706243018,130.6957150090047,646.1695503184837,28747.25363032893
55,0.7065799571112942,4.950998712919886,0.02110307912900163,0.6597174844233317,45.71414135746881,1121.111,51248.488960374845,4667.312837986959,133.12407327443356,657.7653426890262,29682.270507609745
56,0.7062545081672725,5.053869215604564,0.021054298138079477,0.6614225760777389,46.86641553153016,1125.254,52735.32307993043,4852.711731434943,137.25527023078706,673.8870998810718,30627.839706472303
57,0.704985581790716,5.134075760017454,0.02097804077456337,0.6633496032610019,48.04651970389976,1129.414,54262.55891809089,4986.926866867885,139.9995184542492,686.4882477803637,31615.345790877036
58,0.7017718604700924,5.20202802703569,0.02084284410637435,0.6649885472468164,49.268012600906395,1133.697,55852.53832727248,5142.131690064648,142.87531163207612,700.858108697412,32619.721092237334
59,0.6990761419633872,5.275693602259475,0.020723149955244168,0.6667405010644236,50.540673112383466,1138.044,57515.35012198511,5280.6082260043195,145.17849403268366,714.1831540047315,33671.96169758268
60,0.6978841236322141,5.385523842272267,0.02064697134113592,0.66784648238396,51.86539257993682,1142.535,59256.40272635589,5481.651656625888,148.41496865470427,731.7828977162868,34716.27177840276
61,0.6944644229955532,5.463043276821781,0.020504776307344725,0.6691302224243032,53.20906417966097,1147.098,61034.55369463694,5647.471631807246,150.78589412877787,747.6260510863691,35789.44093264267
62,0.692015318225708,5.56591257501269,0.020390394993875332,0.6695492175416834,54.588706016249766,1151.846,62876.21410510976,5856.190640184335,153.9604064178562,766.964169611665,36839.22994437957
63,0.6900166253504305,5.669038521848645,0.020290193944861278,0.6704312863413315,56.03060449044682,1156.534,64800.42273793121,6032.062709568165,156.2642201662751,784.1102067015717,37960.550818874064
